coefficients,full_model_value,full_pvalue,at_one_year_value,at_one_year_pvalue,at_five_years_value,at_five_years_pvalue,five_years_value,five_years_pvalue,at_ten_years_value,at_ten_years_pvalue,ten_years_value,ten_years_pvalue
(Intercept),-0.9460325520817209,2.5975496971426757e-11,-2.334425698849715,0.09971541354678617,2.5389738710582748,2.12709855147156e-9,-3.472593301066682,8.909592580270015e-14,3.9945242269398897,1.0173729793798512e-78,-2.6960459307738134,1.0256186887355602e-24
da_factorYes,-1.5082370356201569,3.1175994122000327e-10,1.9289605907415504,0.08918102202813455,0.25830746377187674,0.627934620206928,-0.17800294840825712,0.76285798418978,-0.07453305186256604,0.8398045189010035,-0.2667196783782823,0.4478266252893284
log(age.in.months),0.9932224510853072,3.024814432905483e-276,NA,NA,NA,NA,1.6141466204315886,2.5417269689642652e-36,NA,NA,1.397581083257752,2.032151987597137e-115
container.titleApplied and Environmental Microbiology,-1.0337270062755661,2.912265403032775e-9,2.3344256988497145,0.1663725323115248,0.19827548473619763,0.6845255956522401,-0.12066994989903045,0.8283698298328016,0.04618511944957934,0.8663531946182035,-0.5650605282725129,0.07875160609102361
container.titleGenome Announcements,-4.530283293535817,0.001724694608710941,NA,NA,NA,NA,NA,NA,NA,NA,-8.880929764809082,0.001369768678882535
container.titleInfection and Immunity,-0.7926751249250313,0.0020530025083041067,-13.96815938767894,0.9947013920358719,0.233614851181507,0.7804920160737785,-1.3290293125491421,0.16831031709479918,-0.33739347114053386,0.39913913440320764,-1.1797457515642564,0.024356247405851413
container.titleJournal of Bacteriology,-1.170554045793685,4.7828421662220174e-8,2.8940414867851354,0.05747672276049507,-0.45953232937843824,0.4529730632982997,-0.3361033604592512,0.6351986658534527,-0.3438659856461508,0.3902178402983171,-0.2502096282300806,0.55175080249355
container.titleJournal of Clinical Microbiology,0.2729212893215358,0.1963094664504325,3.433037987517821,0.04795113798974108,-0.1875986138947963,0.7815407263521119,-0.6776286508075883,0.3533985285962159,-0.8460708663682347,0.0012837091004359246,1.9759032268226233,1.8076880403858415e-7
container.titleJournal of Microbiology &amp; Biology Education,-0.22612526779138908,0.8995592449309096,NA,NA,NA,NA,1.022002312506821,0.7013171237591974,NA,NA,1.5424041904024963,0.38478060931642427
container.titleJournal of Virology,-0.4370453666554202,0.012885408398217252,2.922212363751833,0.05169350222845774,-0.03344793406753882,0.9464024686300015,-0.1727855600411514,0.7550586083828137,-0.06129901386114062,0.8258381379882597,0.20133020439936758,0.5257587694148895
