paper,doi_no_underscore,nsd,da,container.title,year.published
https://journals.asm.org/doi/10.1128/mra.00170-24,10.1128/mra.00170-24,Yes,No,Microbiology Resource Announcements,2024
https://journals.asm.org/doi/10.1128/mra.01050-24,10.1128/mra.01050-24,Yes,No,Microbiology Resource Announcements,2024
https://journals.asm.org/doi/10.1128/mra.01234-23,10.1128/mra.01234-23,Yes,No,Microbiology Resource Announcements,2024
https://journals.asm.org/doi/10.1128/mra.00817-24,10.1128/mra.00817-24,Yes,No,Microbiology Resource Announcements,2024
https://journals.asm.org/doi/10.1128/mra.01042-23,10.1128/mra.01042-23,Yes,No,Microbiology Resource Announcements,2024
https://journals.asm.org/doi/10.1128/mra.00563-23,10.1128/mra.00563-23,Yes,No,Microbiology Resource Announcements,2023
https://journals.asm.org/doi/10.1128/mra.00371-23,10.1128/mra.00371-23,Yes,No,Microbiology Resource Announcements,2023
https://journals.asm.org/doi/10.1128/mra.00916-23,10.1128/mra.00916-23,Yes,No,Microbiology Resource Announcements,2023
https://journals.asm.org/doi/10.1128/mra.00640-23,10.1128/mra.00640-23,Yes,No,Microbiology Resource Announcements,2023
https://journals.asm.org/doi/10.1128/mra.00270-23,10.1128/mra.00270-23,Yes,No,Microbiology Resource Announcements,2023
https://journals.asm.org/doi/10.1128/mra.00644-22,10.1128/mra.00644-22,Yes,No,Microbiology Resource Announcements,2022
https://journals.asm.org/doi/10.1128/mra.00107-22,10.1128/mra.00107-22,Yes,No,Microbiology Resource Announcements,2022
https://journals.asm.org/doi/10.1128/mra.00833-22,10.1128/mra.00833-22,Yes,No,Microbiology Resource Announcements,2022
https://journals.asm.org/doi/10.1128/mra.00351-22,10.1128/mra.00351-22,Yes,No,Microbiology Resource Announcements,2022
https://journals.asm.org/doi/10.1128/mra.00695-22,10.1128/mra.00695-22,Yes,No,Microbiology Resource Announcements,2022
https://journals.asm.org/doi/10.1128/mra.01323-20,10.1128/mra.01323-20,Yes,No,Microbiology Resource Announcements,2021
https://journals.asm.org/doi/10.1128/mra.01468-20,10.1128/mra.01468-20,Yes,No,Microbiology Resource Announcements,2021
https://journals.asm.org/doi/10.1128/mra.00206-21,10.1128/mra.00206-21,Yes,No,Microbiology Resource Announcements,2021
https://journals.asm.org/doi/10.1128/mra.00460-21,10.1128/mra.00460-21,Yes,No,Microbiology Resource Announcements,2021
https://journals.asm.org/doi/10.1128/mra.00466-21,10.1128/mra.00466-21,Yes,No,Microbiology Resource Announcements,2021
https://journals.asm.org/doi/10.1128/mra.00932-18,10.1128/mra.00932-18,Yes,No,Microbiology Resource Announcements,2018
https://journals.asm.org/doi/10.1128/mra.00943-18,10.1128/mra.00943-18,Yes,No,Microbiology Resource Announcements,2018
https://journals.asm.org/doi/10.1128/mra.01361-19,10.1128/mra.01361-19,Yes,No,Microbiology Resource Announcements,2020
https://journals.asm.org/doi/10.1128/mra.01464-18,10.1128/mra.01464-18,Yes,No,Microbiology Resource Announcements,2019
https://journals.asm.org/doi/10.1128/mra.01490-18,10.1128/mra.01490-18,Yes,No,Microbiology Resource Announcements,2019
https://journals.asm.org/doi/10.1128/mra.01628-18,10.1128/mra.01628-18,Yes,No,Microbiology Resource Announcements,2019
https://journals.asm.org/doi/10.1128/spectrum.03432-22,10.1128/spectrum.03432-22,Yes,No,Microbiology Spectrum,2023
https://journals.asm.org/doi/10.1128/spectrum.00531-23,10.1128/spectrum.00531-23,Yes,No,Microbiology Spectrum,2023
https://journals.asm.org/doi/10.1128/spectrum.01842-23,10.1128/spectrum.01842-23,Yes,No,Microbiology Spectrum,2023
https://journals.asm.org/doi/10.1128/spectrum.00975-23,10.1128/spectrum.00975-23,Yes,No,Microbiology Spectrum,2023
https://journals.asm.org/doi/10.1128/spectrum.03431-22,10.1128/spectrum.03431-22,Yes,No,Microbiology Spectrum,2023
https://journals.asm.org/doi/10.1128/spectrum.03317-23,10.1128/spectrum.03317-23,Yes,No,Microbiology Spectrum,2024
https://journals.asm.org/doi/10.1128/spectrum.00886-24,10.1128/spectrum.00886-24,Yes,No,Microbiology Spectrum,2024
https://journals.asm.org/doi/10.1128/spectrum.01258-23,10.1128/spectrum.01258-23,Yes,No,Microbiology Spectrum,2024
https://journals.asm.org/doi/10.1128/spectrum.04291-23,10.1128/spectrum.04291-23,Yes,No,Microbiology Spectrum,2024
https://journals.asm.org/doi/10.1128/spectrum.01172-24,10.1128/spectrum.01172-24,Yes,No,Microbiology Spectrum,2024
https://journals.asm.org/doi/10.1128/spectrum.00974-22,10.1128/spectrum.00974-22,Yes,No,Microbiology Spectrum,2022
https://journals.asm.org/doi/10.1128/spectrum.00293-22,10.1128/spectrum.00293-22,Yes,No,Microbiology Spectrum,2022
https://journals.asm.org/doi/10.1128/spectrum.03757-22,10.1128/spectrum.03757-22,Yes,No,Microbiology Spectrum,2022
https://journals.asm.org/doi/10.1128/spectrum.02478-21,10.1128/spectrum.02478-21,Yes,No,Microbiology Spectrum,2022
https://journals.asm.org/doi/10.1128/spectrum.02534-21,10.1128/spectrum.02534-21,Yes,No,Microbiology Spectrum,2022
https://journals.asm.org/doi/10.1128/spectrum.01882-21,10.1128/spectrum.01882-21,Yes,No,Microbiology Spectrum,2021
https://journals.asm.org/doi/10.1128/spectrum.00690-21,10.1128/spectrum.00690-21,Yes,No,Microbiology Spectrum,2021
https://journals.asm.org/doi/10.1128/spectrum.00754-21,10.1128/spectrum.00754-21,Yes,No,Microbiology Spectrum,2021
https://journals.asm.org/doi/10.1128/spectrum.01318-21,10.1128/spectrum.01318-21,Yes,No,Microbiology Spectrum,2021
https://journals.asm.org/doi/10.1128/spectrum.00497-21,10.1128/spectrum.00497-21,Yes,No,Microbiology Spectrum,2021
https://journals.asm.org/doi/10.1128/spectrum.01058-24,10.1128/spectrum.01058-24,Yes,No,Microbiology Spectrum,NA
https://journals.asm.org/doi/10.1128/spectrum.00934-24,10.1128/spectrum.00934-24,Yes,No,Microbiology Spectrum,NA
https://journals.asm.org/doi/10.1128/spectrum.01170-24,10.1128/spectrum.01170-24,Yes,No,Microbiology Spectrum,NA
https://journals.asm.org/doi/10.1128/spectrum.02430-24,10.1128/spectrum.02430-24,Yes,No,Microbiology Spectrum,NA
https://journals.asm.org/doi/10.1128/spectrum.00764-24,10.1128/spectrum.00764-24,Yes,No,Microbiology Spectrum,NA
